major,document_count,unique_source_count,word_count
Artificial Intelligence,40,2,11368
Computer Engineering,58,2,12137
Computer Science,340,3,29238
Cybersecurity,20,3,25139
Data Science and Analytics,45,3,25705
Electrical Engineering,190,2,13565
Unclassified EECS,38,2,1134
