source_type,source_path,filename,extension,assigned_majors,word_count,preview_top_words
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 125,.csv-row,Computer Science; Cybersecurity,10,computer; data; security
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 126,.csv-row,Computer Science; Cybersecurity,10,computer; data; security
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 127,.csv-row,Computer Science; Electrical Engineering; Cybersecurity,10,distributed; systems; security
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 128,.csv-row,Computer Science; Electrical Engineering; Cybersecurity,10,distributed; systems; security
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 129,.csv-row,Computer Science,8,computer; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 130,.csv-row,Computer Science,8,computer; networks
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 131,.csv-row,Computer Science; Electrical Engineering,14,sensor; networks; smart; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 132,.csv-row,Computer Science; Electrical Engineering,14,sensor; networks; smart; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 133,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,12,embedded; network; sensor; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 134,.csv-row,Computer Science; Computer Engineering; Electrical Engineering,12,embedded; network; sensor; systems
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 135,.csv-row,Computer Science,8,mobile; multimedia
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 136,.csv-row,Computer Science,8,mobile; multimedia
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 137,.csv-row,Computer Science,10,advanced; computer; networking
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 138,.csv-row,Computer Science,10,advanced; computer; networking
course_listing_row,DepCourseInfo\course_listings.csv,course_listings.csv row 139,.csv-row,Computer Science,8,mobile; computing
