course_code,prefix,number,level,title_or_context,source_page,linked_file_or_page,raw_text
CAP 4623,CAP,4623,undergraduate,,https://www.fau.edu/engineering/eecs/new-electives/,,Trustworthy Ai CAP 4623
CAP 4630,CAP,4630,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CAP 4630
CAP 4630,CAP,4630,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CAP 4630
CAP 4630,CAP,4630,undergraduate,Artificial Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CAP 4630 Artificial Intelligence
CAP 4630,CAP,4630,undergraduate,Artificial Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4630artificial-intelligence.pdf,CAP 4630 Artificial Intelligence
CAP 4770,CAP,4770,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CAP 4770
CAP 4770,CAP,4770,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CAP 4770
CAP 4770,CAP,4770,undergraduate,Introdution Data Mining and Machine Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CAP 4770 Introdution Data Mining and Machine Intelligence
CAP 4770,CAP,4770,undergraduate,Introdution Data Mining and Machine Intelligence,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cap4770intro-data-mining-machine-intelligence.pdf,CAP 4770 Introdution Data Mining and Machine Intelligence
CAP 4773,CAP,4773,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CAP 4773
CAP 4773,CAP,4773,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CAP 4773
CAP 4773,CAP,4773,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CAP 4773
CAP 4773,CAP,4773,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CAP 4773
CDA 3201C,CDA,3201C,undergraduate,Introduction to Logic Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 3201C Introduction to Logic Design
CDA 3201C,CDA,3201C,undergraduate,Introduction to Logic Design,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/cda3201c-intro-logic-design.pdf,CDA 3201C Introduction to Logic Design
CDA 3203,CDA,3203,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce,,CDA 3203
CDA 3203,CDA,3203,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-engineering/program-summary-bsce/index.php,,CDA 3203
CDA 3203,CDA,3203,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science/program-sumary-bscs/,,CDA 3203
CDA 3203,CDA,3203,undergraduate,,https://www.fau.edu/engineering/eecs/undergraduate/computer-science-ba/program-sumary-bacs/,,CDA 3203
CDA 3331C,CDA,3331C,undergraduate,Introduction to Microprocessor System,https://www.fau.edu/engineering/eecs/undergraduate/syllabi-ce-cs/,,CDA 3331C Introduction to Microprocessor System
