query_id,doc_id,rank,score
q02,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,12,0.6457
q02,pdf_0366_computer-science-minor-program-application::chunk_001,13,0.6445
q02,course_0146_CAP_4630::chunk_001,14,0.6348
q02,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,15,0.6269
q02,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,16,0.6267
q02,course_0025_CAP_6635::chunk_001,17,0.6263
q02,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,18,0.6241
q02,pdf_0484_minor-in-business-application::chunk_001,19,0.6233
q02,course_0024_CAP_6635::chunk_001,20,0.6207
q02,pdf_0407_cybersecurity-minor-program-application::chunk_001,21,0.6124
q02,pdf_0485_minor-in-business-worksheet::chunk_001,22,0.6092
q02,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_002,23,0.6084
q02,pdf_0311_cap6635artificial-intelligence::chunk_001,24,0.6079
q02,pdf_0492_ms-egit-ait-worksheet::chunk_002,25,0.6035
q02,pdf_0408_cybersecurity-minor-worksheet::chunk_001,26,0.6017
q02,pdf_0298_cap4630artificial-intelligence::chunk_001,27,0.6012
q02,course_0020_CAP_6619::chunk_001,28,0.5997
q02,course_0005_CAP_5625::chunk_001,29,0.598
q02,pdf_0486_ms--arin-worksheet::chunk_002,30,0.5978
q02,pdf_0276_4-plus-1-itm-ait::chunk_001,31,0.5967
q02,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_002,32,0.5955
q02,pdf_0291_bsms-joint-mechanical-engineering-and-msai-audit-form::chunk_001,33,0.5911
q02,course_0008_CAP_5768::chunk_001,34,0.5881
q02,pdf_0490_ms-computer-science-with-minor-in-business-worksheet::chunk_001,35,0.5867
q02,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_001,36,0.5861
q02,pdf_0492_ms-egit-ait-worksheet::chunk_001,37,0.5858
q02,course_0023_CAP_6635::chunk_001,38,0.5849
q02,course_0028_CAP_6673::chunk_001,39,0.5823
q02,course_0003_CAP_5625::chunk_001,40,0.5823
q02,course_0148_CAP_4770::chunk_001,41,0.5807
q02,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,42,0.5807
q02,course_0004_CAP_5625::chunk_001,43,0.58
q02,pdf_0290_bsms-audit-form::chunk_001,44,0.5789
q02,pdf_0521_professional-ms-itm-adv-info-tech-concentration-worksheet::chunk_001,45,0.5771
q02,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_002,46,0.577
q02,course_0030_CAP_6673::chunk_001,47,0.5768
q02,course_0136_EEL_6819::chunk_001,48,0.5738
q02,course_0018_CAP_6619::chunk_001,49,0.572
q02,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,50,0.572
q02,pdf_0489_ms-computer-engineering-with-minor-in-business-worksheet::chunk_001,51,0.5716
q02,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_002,52,0.5715
q02,pdf_0512_nursing-joint-bsms-biomedical-eng-audit-form::chunk_001,53,0.5712
q02,pdf_0405_cybersecurity-certificate-program-application::chunk_001,54,0.5702
q02,course_0021_CAP_6629::chunk_001,55,0.5697
q02,course_0235_EEE_4361C::chunk_001,56,0.5695
q02,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_001,57,0.569
q02,pdf_0487_ms--coen-worksheet::chunk_002,58,0.5684
q02,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_002,59,0.5671
q02,pdf_0285_bs-phd-computer-science-worksheet12.09.2025::chunk_002,60,0.5668
q02,pdf_0301_cap5625computational-foundations-of-artificial-intelligence::chunk_001,61,0.5667
q02,pdf_0344_certificate-big-data-analytics-application::chunk_001,62,0.5667
q02,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_003,63,0.5662
q02,pdf_0316_cap6778adv-data-mining-machine-learning::chunk_001,64,0.5659
q02,course_0238_EEE_4541::chunk_001,65,0.5658
q02,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_002,66,0.5654
q02,pdf_0495_ms-electrical-engineering-with-minor-in-business-worksheet::chunk_001,67,0.5653
q02,pdf_0496_ms-in-computer-engineering-program-sheet-6-2025::chunk_002,68,0.5649
q02,pdf_0494_ms-egit-csec-worksheet::chunk_001,69,0.5648
q02,course_0038_CAP_6778::chunk_001,70,0.564
q02,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_002,71,0.564
q02,pdf_0522_professional-ms-itm-csda-concentration-worksheet::chunk_001,72,0.5625
q02,pdf_0284_bs-phd-computer-engineering-worksheet-12.09.2025::chunk_002,73,0.5619
q02,pdf_0532_syllabus-trustworthy-artificial-intelligence-fall-2024::chunk_005,74,0.5616
q02,pdf_0504_ms-phd-computer-science-worksheet12.09.2025::chunk_001,75,0.5605
q03,pdf_0515_professional-certificate-big-data-analytics-application::chunk_001,1,0.7306
q03,pdf_0344_certificate-big-data-analytics-application::chunk_001,2,0.7126
q03,pdf_0516_professional-certificate-big-data-analytics-worksheet::chunk_001,3,0.7099
q03,pdf_0283_big-data-analytics-cert-program-worksheet::chunk_001,4,0.7033
q03,course_0035_CAP_6776::chunk_001,5,0.669
q03,pdf_0514_professional-certificate-ai-worksheet::chunk_001,6,0.6253
q03,pdf_0317_cap6780big-data-analytics::chunk_001,7,0.6234
q03,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_002,8,0.623
q03,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_001,9,0.6154
