top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,ndcg_k,ndcg,map,combined_score
100,0.8,0.55,30,0.5,1.0,30,0.45802147049591674,0.32716336943747465,0.3925924199666957
100,0.8,0.75,90,0.5,1.0,30,0.4571767364070471,0.3279981743596396,0.3925874553833434
100,1.2,0.35,60,0.5,1.5,30,0.45683543611995453,0.32819303636489094,0.39251423624242276
50,2.2,0.9,10,0.5,1.0,30,0.46014468375693546,0.3247884017428556,0.39246654274989556
100,2.2,0.9,30,0.5,0.5,30,0.4522411798288458,0.3326535241993681,0.39244735201410696
100,2.2,0.9,30,1.0,1.0,30,0.4522411798288458,0.3326535241993681,0.39244735201410696
100,2.2,0.9,30,1.5,1.5,30,0.4522411798288458,0.3326535241993681,0.39244735201410696
50,1.8,0.9,90,0.5,1.5,30,0.4568305309408148,0.32769154778947157,0.3922610393651432
50,1.8,0.75,30,0.5,1.5,30,0.45722729962194036,0.32713110842315735,0.39217920402254886
100,0.8,0.9,60,0.5,1.0,30,0.45392101041548305,0.3304063206233706,0.39216366551942683
100,1.2,0.35,30,0.5,1.5,30,0.45525063507787605,0.32885206158036295,0.3920513483291195
50,1.8,0.75,90,0.5,1.5,30,0.4571276001984402,0.3269432032935913,0.3920354017460157
100,2.2,0.9,60,0.5,0.5,30,0.4531637770665964,0.3307439458859037,0.39195386147625005
100,2.2,0.9,60,1.0,1.0,30,0.4531637770665964,0.3307439458859037,0.39195386147625005
100,2.2,0.9,60,1.5,1.5,30,0.4531637770665964,0.3307439458859037,0.39195386147625005
100,0.8,0.75,30,0.5,1.0,30,0.45717633245219236,0.3264960073132236,0.391836169882708
100,1.2,0.9,60,0.5,0.75,30,0.45220662865407746,0.3314068689481452,0.3918067488011113
100,1.2,0.9,60,1.0,1.5,30,0.45220662865407746,0.3314068689481452,0.3918067488011113
100,2.2,0.9,10,0.5,0.5,30,0.4523698212429053,0.33124263708605245,0.3918062291644789
100,2.2,0.9,10,1.0,1.0,30,0.4523698212429053,0.33124263708605245,0.3918062291644789
100,2.2,0.9,10,1.5,1.5,30,0.4523698212429053,0.33124263708605245,0.3918062291644789
100,1.5,0.55,60,0.5,1.0,30,0.4564304749360115,0.3269827111619012,0.3917065930489564
100,1.8,0.55,10,0.5,1.0,30,0.4541611956537439,0.329189059423673,0.3916751275387085
100,1.5,0.75,30,0.5,0.75,30,0.45285239293281443,0.3304250423697078,0.3916387176512611
100,1.5,0.75,30,1.0,1.5,30,0.45285239293281443,0.3304250423697078,0.3916387176512611
100,1.2,0.9,30,0.5,0.75,30,0.45121016240252804,0.33199564310622803,0.39160290275437803
100,1.2,0.9,30,1.0,1.5,30,0.45121016240252804,0.33199564310622803,0.39160290275437803
100,0.8,0.9,10,0.5,1.0,30,0.45462942936515827,0.32846105714098645,0.3915452432530724
100,1.2,0.9,90,0.5,0.75,30,0.4531634624809283,0.32979230360005013,0.39147788304048925
100,1.2,0.9,90,1.0,1.5,30,0.4531634624809283,0.32979230360005013,0.39147788304048925
100,1.2,0.75,10,0.5,0.75,30,0.4539423377979264,0.32898818970011845,0.39146526374902246
100,1.2,0.75,10,1.0,1.5,30,0.4539423377979264,0.32898818970011845,0.39146526374902246
100,2.2,0.9,90,0.5,0.5,30,0.45278444345152435,0.33013234126439667,0.39145839235796054
100,2.2,0.9,90,1.0,1.0,30,0.45278444345152435,0.33013234126439667,0.39145839235796054
100,2.2,0.9,90,1.5,1.5,30,0.45278444345152435,0.33013234126439667,0.39145839235796054
50,1.5,0.75,90,0.5,1.5,30,0.4566185273226603,0.32623057151410434,0.39142454941838234
50,1.5,0.75,60,0.5,1.5,30,0.4565920172197632,0.3260151727795842,0.3913035949996737
50,1.5,0.9,10,0.5,1.5,30,0.4565280282933335,0.3260274513251228,0.39127773980922814
50,2.2,0.75,30,0.5,1.5,30,0.45538834714051063,0.3268938041543535,0.39114107564743206
50,2.2,0.75,60,0.5,1.5,30,0.4554252038981556,0.32669115788949377,0.3910581808938247
100,2.2,0.75,60,0.5,0.75,30,0.4531955553622347,0.3288475713795889,0.3910215633709118
100,2.2,0.75,60,1.0,1.5,30,0.4531955553622347,0.3288475713795889,0.3910215633709118
100,1.2,0.35,30,0.5,1.0,30,0.4566081568831307,0.3252836022318995,0.39094587955751514
100,2.2,0.75,90,0.5,0.75,30,0.4533748911679987,0.3285023953379504,0.39093864325297456
