query_id,doc_id,rank,score
q02,pdf_0343_certificate-artificial-intelligence-program-worksheet::chunk_001,6,39.3657
q02,pdf_0485_minor-in-business-worksheet::chunk_001,7,38.4698
q02,pdf_0513_professional-ai-certificate-program-application::chunk_001,8,37.4486
q02,pdf_0407_cybersecurity-minor-program-application::chunk_001,9,37.2273
q02,pdf_0366_computer-science-minor-program-application::chunk_001,10,37.2067
q02,pdf_0514_professional-certificate-ai-worksheet::chunk_001,11,36.913
q02,pdf_0408_cybersecurity-minor-worksheet::chunk_001,12,31.4812
q02,pdf_0341_certificate-artificial--intelligence-program-application::chunk_001,13,29.5293
q02,pdf_0486_ms--arin-worksheet::chunk_001,14,29.2051
q02,pdf_0281_artificial-intelligence-certificate-program-application-jan6::chunk_001,15,29.1663
q02,pdf_0490_ms-computer-science-with-minor-in-business-worksheet::chunk_001,16,27.9131
q02,pdf_0489_ms-computer-engineering-with-minor-in-business-worksheet::chunk_001,17,27.206
q02,pdf_0278_artificial-inteligence-certificate-worksheet-jan6::chunk_001,18,26.2216
q02,pdf_0519_professional-ms-ai-worksheet::chunk_001,19,25.9889
q02,pdf_0495_ms-electrical-engineering-with-minor-in-business-worksheet::chunk_001,20,25.4431
q02,pdf_0498_ms-in-data-science-analytics-program-worksheet-6-2025::chunk_001,21,24.9633
q02,pdf_0491_ms-cse-worksheet-new::chunk_001,22,24.0079
q02,pdf_0492_ms-egit-ait-worksheet::chunk_001,23,23.6938
q02,pdf_0488_ms--dsa--worksheet::chunk_001,24,23.2987
q02,pdf_0511_nursing-joint-bsms-ai-audit-form::chunk_001,25,23.296
q02,pdf_0494_ms-egit-csec-worksheet::chunk_001,26,22.7841
q02,pdf_0503_ms-in-information-technology-management-cybersecurity-progra::chunk_001,27,22.6592
q02,pdf_0497_ms-in-computer-science-program-worksheet-6-2025::chunk_001,28,22.6564
q02,pdf_0502_ms-in-information-technology-management-computer-science-dat::chunk_001,29,22.494
q02,pdf_0501_ms-in-information-technology-management-advance-information-::chunk_001,30,22.3063
q02,pdf_0510_newcertificate-artificial-intelligence-worksheet::chunk_001,31,22.278
q02,pdf_0280_artificial-intelligence-cert-program-worksheet::chunk_001,32,22.2271
q02,pdf_0487_ms--coen-worksheet::chunk_001,33,22.1731
q02,pdf_0346_certificate-cyber-security-application::chunk_001,34,21.9102
q02,pdf_0493_ms-egit-csda-worksheet::chunk_001,35,21.8243
