method,chunk_size_words,chunk_overlap_words,top_k,bm25_k1,bm25_b,rrf_k,bm25_weight,dense_weight,rerank_top_n,reranker_model,ndcg_k,ndcg,map,combined_score,num_chunks,num_qrels
rrf_plus_rerank,700,100,100,1.8,1.0,90,0.25,2.5,30,BAAI/bge-reranker-base,30,0.4714438136020214,0.32529913471559746,0.39837147415880947,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,3.0,30,BAAI/bge-reranker-base,30,0.4714198752802254,0.3253166639332626,0.398368269606744,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.5,30,BAAI/bge-reranker-base,30,0.47129663802304983,0.32468550084478826,0.39799106943391904,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,120,0.25,2.5,30,BAAI/bge-reranker-base,30,0.4710841928022694,0.32453495771179863,0.397809575257034,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.5,30,BAAI/bge-reranker-base,30,0.47097970284684365,0.3245211268700099,0.39775041485842677,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.5,2.5,30,BAAI/bge-reranker-base,30,0.47071076018475105,0.32441920336156277,0.3975649817731569,582,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.25,1.5,30,BAAI/bge-reranker-base,30,0.46941691790063744,0.32562862690632566,0.39752277240348155,586,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.5,3.0,30,BAAI/bge-reranker-base,30,0.46941691790063744,0.32562862690632566,0.39752277240348155,586,182
rrf_plus_rerank,700,150,100,2.2,1.0,120,0.25,2.0,30,BAAI/bge-reranker-base,30,0.4711991267727855,0.3237717060494393,0.3974854164111124,586,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.0,30,BAAI/bge-reranker-base,30,0.47024046589248497,0.3242263228936446,0.3972333943930648,582,182
rrf_plus_rerank,700,100,100,1.8,1.0,150,0.25,2.5,30,BAAI/bge-reranker-base,30,0.47053491184333057,0.32384539118290606,0.3971901515131183,582,182
rrf_plus_rerank,700,100,150,2.2,1.0,150,0.25,2.0,30,BAAI/bge-reranker-base,30,0.46900215881062574,0.3233891944549239,0.39619567663277483,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.5,2.5,30,BAAI/bge-reranker-base,30,0.4688682354401856,0.3229237976060318,0.3958960165231087,582,182
rrf_plus_rerank,700,100,100,2.6,1.0,150,0.25,2.0,30,BAAI/bge-reranker-base,30,0.4687288817282083,0.32226993298125367,0.395499407354731,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,120,0.25,2.0,30,BAAI/bge-reranker-base,30,0.46878599071466226,0.3219361497514166,0.39536107023303946,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.25,1.5,30,BAAI/bge-reranker-base,30,0.46864811108203247,0.32205021348501456,0.3953491622835235,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,90,0.5,3.0,30,BAAI/bge-reranker-base,30,0.46864811108203247,0.32205021348501456,0.3953491622835235,582,182
rrf_plus_rerank,700,100,100,2.2,1.0,150,0.25,2.0,30,BAAI/bge-reranker-base,30,0.46838646556568453,0.3221414526579886,0.39526395911183654,582,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.25,1.5,50,BAAI/bge-reranker-base,30,0.46518948405862665,0.3116791450143049,0.38843431453646576,586,182
rrf_plus_rerank,700,150,150,2.2,1.0,150,0.5,3.0,50,BAAI/bge-reranker-base,30,0.46518948405862665,0.3116791450143049,0.38843431453646576,586,182
rrf_plus_rerank,700,150,200,2.6,0.9,150,0.25,1.5,50,BAAI/bge-reranker-base,30,0.4617371463547094,0.3105999051366153,0.38616852574566235,586,182
